Episode,Time Steps,Total Reward
0,40,-1651.0,-1651.0
1,43,-1623.0,-1623.0
2,9,-1972.0,-1972.0
3,17,-1851.0,-1851.0
4,16,-1887.0,-1887.0
5,42,-1658.0,-1658.0
6,12,-1915.0,-1915.0
7,22,-1902.0,-1902.0
8,12,-1921.5,-1921.5
9,14,-1891.0,-1891.0
10,17,-1895.0,-1895.0
11,40,-1657.5,-1657.5
12,27,-1808.5,-1808.5
13,44,-1654.0,-1654.0
14,39,-1654.0,-1654.0
15,43,-1639.0,-1639.0
16,41,-1623.5,-1623.5
17,40,-1660.5,-1660.5
18,41,-1635.5,-1635.5
19,41,-1637.5,-1637.5
20,40,-1646.5,-1646.5
21,45,-1642.5,-1642.5
22,40,-1656.0,-1656.0
23,40,-1634.5,-1634.5
24,41,-1638.0,-1638.0
25,43,-1602.0,-1602.0
26,39,-1651.0,-1651.0
27,42,-1643.5,-1643.5
28,25,-1781.0,-1781.0
29,40,-1650.0,-1650.0
30,9,-1980.0,-1980.0
